날짜,연령대,브랜드,관심도,대분류,중분류1
총합,10대,그라운드플랜,5.096177777777778,스킨케어,기타
총합,10대,셀인샷,15.905824444444445,스킨케어,기타
총합,10대,쏘내추럴,27.720351666666666,스킨케어,기타
총합,10대,에스네이처,64.58512277777778,스킨케어,기타
총합,20대,그라운드플랜,10.626207592592593,스킨케어,기타
총합,20대,셀인샷,13.08149,스킨케어,기타
총합,20대,쏘내추럴,19.268182592592595,스킨케어,기타
총합,20대,에스네이처,75.88127999999999,스킨케어,기타
총합,30대,그라운드플랜,48.399267037037035,스킨케어,기타
총합,30대,셀인샷,10.80417777777778,스킨케어,기타
총합,30대,쏘내추럴,27.917285925925924,스킨케어,기타
총합,30대,에스네이처,64.89851796296296,스킨케어,기타
총합,40대,그라운드플랜,48.195839444444445,스킨케어,기타
총합,40대,셀인샷,10.642440740740742,스킨케어,기타
총합,40대,쏘내추럴,33.06788925925926,스킨케어,기타
총합,40대,에스네이처,49.04607425925926,스킨케어,기타
총합,50대,그라운드플랜,10.764225370370369,스킨케어,기타
총합,50대,셀인샷,10.928107962962963,스킨케어,기타
총합,50대,쏘내추럴,20.70632111111111,스킨케어,기타
총합,50대,에스네이처,20.777334999999997,스킨케어,기타
총합,60대 이상,그라운드플랜,6.283568148148148,스킨케어,기타
총합,60대 이상,셀인샷,16.263779444444445,스킨케어,기타
총합,60대 이상,쏘내추럴,10.785971111111111,스킨케어,기타
총합,60대 이상,에스네이처,10.609268703703703,스킨케어,기타
2024-02-05,10대,그라운드플랜,15.50387,스킨케어,기타
2024-02-12,10대,그라운드플랜,8.52713,스킨케어,기타
2024-02-19,10대,그라운드플랜,3.87596,스킨케어,기타
2024-02-26,10대,그라운드플랜,12.4031,스킨케어,기타
2024-03-04,10대,그라운드플랜,6.20155,스킨케어,기타
2024-03-11,10대,그라운드플랜,6.20155,스킨케어,기타
2024-03-18,10대,그라운드플랜,6.20155,스킨케어,기타
2024-03-25,10대,그라운드플랜,4.65116,스킨케어,기타
2024-04-01,10대,그라운드플랜,4.65116,스킨케어,기타
2024-04-08,10대,그라운드플랜,2.32558,스킨케어,기타
2024-04-15,10대,그라운드플랜,0.77519,스킨케어,기타
2024-04-22,10대,그라운드플랜,3.87596,스킨케어,기타
2024-04-29,10대,그라운드플랜,1.55038,스킨케어,기타
2024-05-06,10대,그라운드플랜,10.85271,스킨케어,기타
2024-05-13,10대,그라운드플랜,6.20155,스킨케어,기타
2024-05-20,10대,그라운드플랜,3.10077,스킨케어,기타
2024-05-27,10대,그라운드플랜,6.20155,스킨케어,기타
2024-06-03,10대,그라운드플랜,4.65116,스킨케어,기타
2024-06-10,10대,그라운드플랜,4.65116,스킨케어,기타
2024-06-17,10대,그라운드플랜,3.87596,스킨케어,기타
2024-06-24,10대,그라운드플랜,0.77519,스킨케어,기타
2024-07-01,10대,그라운드플랜,2.32558,스킨케어,기타
2024-07-08,10대,그라운드플랜,4.65116,스킨케어,기타
2024-07-15,10대,그라운드플랜,4.65116,스킨케어,기타
2024-07-22,10대,그라운드플랜,2.32558,스킨케어,기타
2024-07-29,10대,그라운드플랜,3.10077,스킨케어,기타
2024-08-05,10대,그라운드플랜,3.87596,스킨케어,기타
2024-08-12,10대,그라운드플랜,6.97674,스킨케어,기타
2024-08-19,10대,그라운드플랜,5.42635,스킨케어,기타
2024-08-26,10대,그라운드플랜,3.10077,스킨케어,기타
2024-09-02,10대,그라운드플랜,2.32558,스킨케어,기타
2024-09-09,10대,그라운드플랜,2.32558,스킨케어,기타
2024-09-16,10대,그라운드플랜,6.20155,스킨케어,기타
2024-09-23,10대,그라운드플랜,2.32558,스킨케어,기타
2024-09-30,10대,그라운드플랜,3.87596,스킨케어,기타
2024-10-07,10대,그라운드플랜,2.32558,스킨케어,기타
2024-10-14,10대,그라운드플랜,1.55038,스킨케어,기타
2024-10-21,10대,그라운드플랜,4.65116,스킨케어,기타
2024-10-28,10대,그라운드플랜,5.42635,스킨케어,기타
2024-11-04,10대,그라운드플랜,7.75193,스킨케어,기타
2024-11-11,10대,그라운드플랜,0.77519,스킨케어,기타
2024-11-18,10대,그라운드플랜,3.10077,스킨케어,기타
2024-11-25,10대,그라운드플랜,6.97674,스킨케어,기타
2024-12-02,10대,그라운드플랜,18.60465,스킨케어,기타
2024-12-09,10대,그라운드플랜,7.75193,스킨케어,기타
2024-12-16,10대,그라운드플랜,6.20155,스킨케어,기타
2024-12-23,10대,그라운드플랜,4.65116,스킨케어,기타
2024-12-30,10대,그라운드플랜,8.52713,스킨케어,기타
2025-01-06,10대,그라운드플랜,6.20155,스킨케어,기타
2025-01-13,10대,그라운드플랜,4.65116,스킨케어,기타
2025-01-20,10대,그라운드플랜,3.10077,스킨케어,기타
2025-01-27,10대,그라운드플랜,5.42635,스킨케어,기타
2025-02-03,10대,그라운드플랜,6.20155,스킨케어,기타
2025-02-10,10대,그라운드플랜,0.77519,스킨케어,기타
2024-02-05,20대,그라운드플랜,16.45885,스킨케어,기타
2024-02-12,20대,그라운드플랜,14.71321,스킨케어,기타
2024-02-19,20대,그라운드플랜,9.80881,스킨케어,기타
2024-02-26,20대,그라운드플랜,16.54197,스킨케어,기타
2024-03-04,20대,그라운드플랜,17.70573,스킨케어,기타
2024-03-11,20대,그라운드플랜,16.9576,스킨케어,기타
2024-03-18,20대,그라운드플랜,12.46882,스킨케어,기타
